#{"source_data": "2017-08-01", "update_frequency": "Hourly", "source_key": "FTS", "extract_date": "2017-08-01", "source_url": "https://fts.unocha.org"}
cluster,revisedRequirements,totalFunding,plan_id,plan_code,plan_name,countryCode,percentFunded
Multi-sector,690935692.0,323853656.0,551,OEUR17,2017 Europe Situation - Regional Refugee and Migrant Response,,0.468717508373
Multi Sector Cash,95680670.0,10242599.0,544,HAFG17,Afghanistan 2017,AFG,0.107049825215
"Water, Sanitation and Hygiene",36464020.0,3848133.0,544,HAFG17,Afghanistan 2017,AFG,0.105532330226
Nutrition,66500000.0,6651685.0,544,HAFG17,Afghanistan 2017,AFG,0.100025338346
Protection,98976653.0,14172763.0,544,HAFG17,Afghanistan 2017,AFG,0.143192991179
Coordination,9500000.0,7036654.0,544,HAFG17,Afghanistan 2017,AFG,0.740700421053
Emergency Shelter and NFI,38092838.0,9967444.0,544,HAFG17,Afghanistan 2017,AFG,0.261661890353
Food Security and Agriculture,135530000.0,24752301.0,544,HAFG17,Afghanistan 2017,AFG,0.182633372685
Aviation,17000000.0,10540697.0,544,HAFG17,Afghanistan 2017,AFG,0.620041
Health,52492276.0,14846276.0,544,HAFG17,Afghanistan 2017,AFG,0.28282782023
Not specified,,64768178.0,544,HAFG17,Afghanistan 2017,AFG,
Multi-sector for Refugees,12235000.0,0.0,548,HBFA17,Burkina Faso 2017,BFA,0.0
Preparedness,6864000.0,0.0,548,HBFA17,Burkina Faso 2017,BFA,0.0
Food Security,11578000.0,4205474.0,548,HBFA17,Burkina Faso 2017,BFA,0.36322974607
Nutrition,30412000.0,16268127.0,548,HBFA17,Burkina Faso 2017,BFA,0.534924602131
Not specified,,1169618.0,548,HBFA17,Burkina Faso 2017,BFA,
"Eau, Hygiène et Assainissement",8000000.0,300000.0,541,HBDI17,Burundi 2017,BDI,0.0375
Abris et Articles Non Alimentaires,8000000.0,0.0,541,HBDI17,Burundi 2017,BDI,0.0
Santé,8000000.0,0.0,541,HBDI17,Burundi 2017,BDI,0.0
Education,3500000.0,0.0,541,HBDI17,Burundi 2017,BDI,0.0
Protection,12000000.0,1403791.0,541,HBDI17,Burundi 2017,BDI,0.116982583333
Nutrition,12000000.0,3667426.0,541,HBDI17,Burundi 2017,BDI,0.305618833333
