#{"source_key": "HNO", "source_url": "https://www.humanitarianresponse.info/en/operations/nigeria/document/lake-chad-basin-emergency-humanitarian-needs-and-requirement-overview", "source_date": "2017-01-09", "extract_date": "2017-03-07", "update_frequency": "Unknown / Irregular", "additional_metadata": {"Coordination hub": "Bureau Regional pour l'Afrique de l'Ouest et du Centre", "Tagged For Refugee Response": "http://reliefweb.int/report/niger/nigeria-regional-refugee-response-plan-january-december-2017", "Humanitarian Needs Overview Guidance and Templates": "https://www.humanitarianresponse.info/en/programme-cycle/space/document/2016-humanitarian-needs-overview-template-0"}}
Category,Requirement 2016,Funded 2016,Percent Funded 2016,Requirement 2017,Tagged For Refugee Response
COORDINATION,,,,6613755,
EARLY RECOVERY,3402800,2100000,0.62,17986000,6458850
EDUCATION,2991043,1265956,0.42,11753684,3581720
EMERGENCY SHELTER AND NFI,5622480,1201898,0.21,5599281,411000
FOOD SECURITY,19732962,18671335,0.95,55387226,13317328
HEALTH,2325998,2173577,0.93,11646815,1184800
MULTI-SECTOR FOR REFUGEES,27898311,6191026,0.22,33384663,33384663
NUTRITION,10404301,9755015,0.94,17023664,2080260
PROTECTION,7313439,5801847,0.79,18343842,4367024
WATER AND SANITATION,5332070,5263202,0.99,13698474,2291063
GRAND TOTAL,85023404,52423856,0.62,191437412,67076708
