#{"source_data": "2017-09-06", "update_frequency": "Hourly", "source_key": "FTS", "extract_date": "2017-09-06", "source_url": "https://fts.unocha.org"}
code,id,name,revisedRequirements,categoryName,countryCode,appealFunded,percentFunded,neededFunding
OEUR17,551,2017 Europe Situation - Regional Refugee and Migrant Response,690935692,Other,,336870254,0.487556595933,354065438
HAFG17,544,Afghanistan 2017,550236457,Humanitarian response plan,AFG,181036016,0.329014942025,369200441
HBFA17,548,Burkina Faso 2017,61089000,Humanitarian response plan,BFA,21643219,0.354289954002,39445781
HBDI17,541,Burundi 2017,73700000,Humanitarian response plan,BDI,34824868,0.472521953867,38875132
HCMR17,537,Cameroon 2017,309643212,Humanitarian response plan,CMR,99585301,0.32161306026,210057911
HCAF17,549,Central African Republic 2017,497300000,Humanitarian response plan,CAF,146267992,0.294124254977,351032008
HTCD17,532,Chad 2017,588608263,Humanitarian response plan,TCD,175397293,0.297986460649,413210970
OPRK17,592,DPR Korea Needs and Priorities 2017,113502775,Other,PRK,32853846,0.289454121276,80648929
HCOD17,587,Democratic Republic of the Congo 2017,812614297,Humanitarian response plan,COD,213956558,0.263294109875,598657739
HDJI17,539,Djibouti 2017,42977698,Humanitarian response plan,DJI,9101773,0.211778978949,33875925
HETH17,588,Ethiopia 2017,948634696,Humanitarian response plan,ETH,298791868,0.31497041934,649842828
HHTI17,543,Haiti 2017,291459691,Humanitarian response plan,HTI,59051773,0.202606997892,232407918
HIRQ17,550,Iraq 2017,984647064,Humanitarian response plan,IRQ,475998738,0.483420664524,508648326
FKEN17,589,Kenya Flash Appeal 2017,165767183,Flash appeal,KEN,47408908,0.285996945487,118358275
HLBY17,533,Libya 2017,151013476,Humanitarian response plan,LBY,63962816,0.423557007588,87050660
FMDG17,590,Madagascar Flash Appeal 2017,20067549,Flash appeal,MDG,10498086,0.523137429489,9569463
HMLI17,535,Mali 2017,304734494,Humanitarian response plan,MLI,79192133,0.25987255975,225542361
HMRT17,547,Mauritania 2017,74500000,Humanitarian response plan,MRT,25960989,0.348469651007,48539011
FMOZ17,586,Mozambique Cyclone Dineo Flash Appeal 2017,10246400,Flash appeal,MOZ,2904239,0.283439939881,7342161
HMMR17,545,Myanmar 2017,150300000,Humanitarian response plan,MMR,73175622,0.486863752495,77124378
HNER17,530,Niger 2017,287273789,Humanitarian response plan,NER,237250566,0.825869171099,50023223
HNGA17,536,Nigeria 2017,1054431494,Humanitarian response plan,NGA,507921265,0.481701531005,546510229
FPER17,593,Peru Flash Appeal 2017,39472408,Flash appeal,PER,6978317,0.176789746397,32494091
HCOG17,626,Republic of Congo 2017,23700000,Humanitarian response plan,COG,8105418,0.342000759494,15594582
HSSD17,538,Republic of South Sudan 2017,1639694893,Humanitarian response plan,SSD,1077436253,0.657095571621,562258640
HSEN17,546,Senegal 2017,15808722,Humanitarian response plan,SEN,1683663,0.10650215748,14125059
HSOM17,528,Somalia 2017,1508830247,Humanitarian response plan,SOM,712197533,0.472019655237,796632714
HSDN17,584,Sudan 2017,803966226,Humanitarian response plan,SDN,206891659,0.257338744227,597074567
HSYR17,526,Syria Humanitarian Response Plan 2017,3349508300,Humanitarian response plan,SYR,1188873434,0.354939688909,2160634866
HUKR17,531,Ukraine Humanitarian Response Plan 2017,214058212,Humanitarian response plan,UKR,49323647,0.230421652779,164734565
HYEM17,542,Yemen Humanitarian Response Plan 2017,2338796140,Humanitarian response plan,YEM,974452915,0.41664722219,1364343225
HPSE17,529,occupied Palestinian territory 2017,551876643,Humanitarian response plan,PSE,229773559,0.416349490261,322103084
