#{"source_key": "UNHCR", "source_url": "http://www.unhcr.org/cgi-bin/texis/vtx/home/opendocAttachment.zip?COMID=58aa8f854", "source_date": 2017-02-01, "extract_date": 2017-04-04}
UN major regions,UNHCR-Bureaux,Country/territory of asylum/residence,Type of population,Population Start 2016,of whom assisted by UNHCR Start 2016,Population Mid 2016,of whom assisted by UNHCR Mid 2016,Notes,Misc
Africa,Central Africa and the Great Lakes,Burundi,Total Refugee and people in refugee-like situations,"   53,363 ","  53,363 ","  53,465 ","  53,465 ",,
Africa,Central Africa and the Great Lakes,Burundi,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Burundi,Asylum-seekers,"  2,931 ","   2,931 ","   2,894 ","   2,894 ",,
Africa,Central Africa and the Great Lakes,Burundi,Returned refugees,  -00 ,   -00 ,"  2,584 ","   2,584 ",,
Africa,Central Africa and the Great Lakes,Burundi,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations","   25,000 ","  25,000 ","  42,275 ","  42,275 ",,
Africa,Central Africa and the Great Lakes,Burundi,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Burundi,Persons under UNHCR's statelessness mandate,"   1,302 ","   1,302 ","   1,302 ","   1,302 ",,
Africa,Central Africa and the Great Lakes,Burundi,Others of concern to UNHCR,   645 ,   645 ,   638 ,   638 ,,
Africa,Central Africa and the Great Lakes,Burundi,Total population of concern,"   83,241 ","  83,241 ","  103,158 ","   103,158 ",,
Africa,Central Africa and the Great Lakes,Cameroon,Total Refugee and people in refugee-like situations,"  342,973 ","   342,973 ","   343,289 ","   343,289 ",,
Africa,Central Africa and the Great Lakes,Cameroon,People in refugee-like situations,"  15,852 ","  15,852 ","  8,251 ","   8,251 ",,
Africa,Central Africa and the Great Lakes,Cameroon,Asylum-seekers,"   5,373 ","   5,373 ","   2,649 ","   2,649 ",,
Africa,Central Africa and the Great Lakes,Cameroon,Returned refugees,   -00 ,   -00 ,   131 ,   131 ,,
Africa,Central Africa and the Great Lakes,Cameroon,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations","  92,657 ","  92,657 ","  190,591 ","   190,591 ",,
Africa,Central Africa and the Great Lakes,Cameroon,Returned IDPs,   -00 ,   -00 ,"  8,251 ",  -00 ,,
Africa,Central Africa and the Great Lakes,Cameroon,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Cameroon,Others of concern to UNHCR,  11 ,  11 ,  34 ,  34 ,,
Africa,Central Africa and the Great Lakes,Cameroon,Total population of concern,"  441,014 ","   441,014 ","   544,945 ","   536,694 ",,
Africa,Central Africa and the Great Lakes,Central African Rep.,Total Refugee and people in refugee-like situations,"  7,330 ","   6,591 ","   11,473 ","  10,734 ",,
Africa,Central Africa and the Great Lakes,Central African Rep.,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Central African Rep.,Asylum-seekers,  334 ,   334 ,   403 ,   403 ,,
Africa,Central Africa and the Great Lakes,Central African Rep.,Returned refugees,   -00 ,   -00 ,"  6,604 ","   6,604 ",,
Africa,Central Africa and the Great Lakes,Central African Rep.,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations","  451,986 ","   216,392 ","   391,433 ","   155,839 ",,
Africa,Central Africa and the Great Lakes,Central African Rep.,Returned IDPs,   -00 ,   -00 ,"  60,553 ","  60,553 ",,
Africa,Central Africa and the Great Lakes,Central African Rep.,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Central African Rep.,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,Central African Rep.,Total population of concern,"  459,650 ","   223,317 ","   470,466 ","   234,133 ",,
Africa,Central Africa and the Great Lakes,"Congo, Republic of",Total Refugee and people in refugee-like situations,"  44,955 ","  44,955 ","  45,361 ","  45,361 ",,
Africa,Central Africa and the Great Lakes,"Congo, Republic of",People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,"Congo, Republic of",Asylum-seekers,"   4,342 ","   4,342 ","   6,472 ","   6,472 ",,
Africa,Central Africa and the Great Lakes,"Congo, Republic of",Returned refugees,   -00 ,   -00 ,   1 ,   1 ,,
Africa,Central Africa and the Great Lakes,"Congo, Republic of","IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,"Congo, Republic of",Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,"Congo, Republic of",Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Central Africa and the Great Lakes,"Congo, Republic of",Others of concern to UNHCR,"   2,854 ","   2,854 ","   3,048 ","   3,048 ",,
Africa,Central Africa and the Great Lakes,"Congo, Republic of",Total population of concern,"  52,151 ","  52,151 ","  54,882 ","  54,882 ",,
Africa,Central Africa and the Great Lakes,Dem. Rep. of the Congo,Total Refugee and people in refugee-like situations,"  383,095 ","   275,043 ","   382,561 ","   274,509 ",h,
Africa,Central Africa and the Great Lakes,Dem. Rep. of the Congo,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
