#{"source_key": "HNO", "source_url": "https://www.humanitarianresponse.info/", "source_date": "2017", "extract_date": "2017-06-01", "update_frequency": "Every year", "additional_metadata": {"Note on data": "Extracted from a variety of 2017 UNOCHA publications including Humanitarian Needs Overviews, Response Plans, Flash Appeals, Needs and Priorites, and Humanitarian Requirements Documents."}}
Metric,Source Type,File Type,Notes,Afghanistan 2017,Burkina Faso 2017,Burundi 2017,Cameroon 2017,Central African Republic 2017,Chad 2017,DPR Korea Needs and Priorities 2017,Democratic Republic of the Congo 2017,DRC Kasai Flash Appeal,Djibouti 2017,Ethiopia 2017,Haiti 2017,Iraq 2017,Kenya Flash Appeal 2017,Libya 2017,Madagascar Flash Appeal 2017,Madagascar Grand Sud 2016-2017,Mali 2017,Mauritania 2017,Mozambique Cyclone Dineo Flash Appeal 2017,Myanmar 2017,Niger 2017,Nigeria 2017,Nigeria northeast 2017,Peru Flash Appeal 2017,Republic of South Sudan 2017,Senegal 2017,Somalia 2017,Sudan 2017,Syria 2017,Syria regional refugee and resilience plan (3RP) 2017,Ukraine Humanitarian Needs Overview 2017,Yemen 2017,occupied Palestinian territory 2017
People targeted - Shelter,3RP,pdf,further data disaggregation available (3RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"948,300",,,
People targeted - WASH,3RP,pdf,further data disaggregation available (3RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,530,800",,,
People targeted - Education,3RP,pdf,further data disaggregation available (3RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,351,400",,,
People targeted - Livelihoods and social cohesion,3RP,pdf,further data disaggregation available (3RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"511,700",,,
People targeted - Protection,3RP,pdf,further data disaggregation available (3RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,893,200",,,
People targeted - Health and nutrition,3RP,pdf,further data disaggregation available (3RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,548,600",,,
People targeted - Food security,3RP,pdf,further data disaggregation available (3RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,848,200",,,
People targeted - Basic needs,3RP,pdf,further data disaggregation available (3RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,242,100",,,
Requirements (US$) - Shelter (inter-agency needs),3RP,pdf,further data disaggregation available (3RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"201,000,000",,,
Requirements (US$) - Food security (inter-agency needs),3RP,pdf,further data disaggregation available (3RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"737,000,000",,,
Requirements (US$) - Health and nutrition (inter-agency needs),3RP,pdf,further data disaggregation available (3RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"373,000,000",,,
Requirements (US$) - WASH (inter-agency needs),3RP,pdf,further data disaggregation available (3RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"391,000,000",,,
Requirements (US$) - Education (inter-agency needs),3RP,pdf,further data disaggregation available (3RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"841,000,000",,,
Requirements (US$) - Protection (inter-agency needs),3RP,pdf,further data disaggregation available (3RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"641,000,000",,,
Requirements (US$) - Basic needs (inter-agency needs),3RP,pdf,further data disaggregation available (3RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,560,000,000",,,
Requirements (US$) - Livelihoods and social cohesion (inter-agency needs),3RP,pdf,further data disaggregation available (3RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"563,000,000",,,
Requirements (US$) (total) (inter-agency appeal),3RP Regional Strategic Overview ,pdf,further data disaggregationa available (3RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,633,255,733",,,
Total population ,FA,pdf,,,,,,,,,,,,,,,"49,500,000",,,,,,,,,,,,,,,,,,,,
People in need (total),FA,pdf,further data disaggregation available (Flash Appeal - FA),,,,,,,,,"1,200,000",,,,,"2,600,000",,,,,,,,,,,,,,,,,,,,
People in need - Coordination and management of shelters and camps,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,,,,,,,,,,"939,713",,,,,,,,,
People in need - Temporary shelters and housing,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,,,,,,,,,,"1,250,000",,,,,,,,,
People in need - Food security,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"2,600,000",,,,,,,,,,,,,,,,,,,,
People in need - (Agriculture) Food security and nutrition,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,,,,,,,,,,"445,000",,,,,,,,,
People in need - Agriculture and livelihood,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"2,600,000",,,,,,,,,,,,,,,,,,,,
People in need - Health,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"2,900,000",,,,,,,,,,,"737,641",,,,,,,,,
People in need - Nutrition,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,300,000",
People in need - Nutrition (treatment),FA,pdf,,,,,,,,,,,,,,,"465,595",,,,,,,,,,,,,,,,,,,,
People in need - Nutrition (prevention),FA,pdf,,,,,,,,,,,,,,,"553,258",,,,,,,,,,,,,,,,,,,,
People in need - Protection,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"175,655",,,,,,,,,,,"517,683",,,,,,,,,
People in need - WASH,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"3,000,000",,,,,,,,,,,"567,000",,,,,,,,,
People in need - Education,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"1,200,000",,,,,,,,,,,"1,638,000",,,,,,,,,
People in need - Early recovery ,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"520,000",,,,,,,,,,,"706,220",,,,,,,,,
People affected,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,"433,985",,,,,,,,,,,,,,,,,,
People targeted (total),FA,pdf,further data disaggregation available (FA),,,,,,,,,"731,000",,,,,,,,,,,"150,000",,,,,"320,000",,,,,,,,,
People targeted - Emergency shelter and NFIs,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,,,,,"50,000",,,,,,,,,,,,,,
People targeted - Shelter and NFIs,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Essential household items/shelter,FA,pdf,further data disaggregation available (FA),,,,,,,,,"328,875",,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Coordination and management of shelters and camps,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,,,,,,,,,,"40,000",,,,,,,,,
People targeted - Emergency shelter,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,"55,000",,,,,,,,,,,,,,,,,,
People targeted - Temporary shelters and housing,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,,,,,,,,,,"123,000",,,,,,,,,
People targeted - WASH,FA,pdf,further data disaggregation available (FA),,,,,,,,,"283,732",,,,,"3,000,000",,"168,000",,,,"50,000",,,,,"320,000",,,,,,,,,
People targeted - Education,FA,pdf,further data disaggregation available (FA),,,,,,,,,"41,964",,,,,"588,000",,"45,000",,,,"100,000",,,,,"52,910",,,,,,,,,
People targeted - Nutrition,FA,pdf,further data disaggregation available (FA),,,,,,,,,"4,593",,,,,"805,750",,,,,,,,,,,,,,,,,,,,
People targeted - Nutrition (treatment),FA,pdf,,,,,,,,,,,,,,,"252,491",,,,,,,,,,,,,,,,,,,,
People targeted - Nutrition (prevention),FA,pdf,,,,,,,,,,,,,,,"553,258",,,,,,,,,,,,,,,,,,,,
People targeted - Food assistance,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,"170,432",,,,,,,,,,,,,,,,,,
People targeted - Protection,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"175,655",,"8,970",,,,,,,,,"92,321",,,,,,,,,
People targeted - Protection (only case management and case monitoring),FA,pdf,further data disaggregation available (FA),,,,,,,,,"408,047",,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - (Safety and) protection,FA,pdf,,,,,,,,,,,,,,,,,,,,,"2,000",,,,,,,,,,,,,,
People targeted - Health,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"291,000",,"250,000",,,,"150,000",,,,,"180,000",,,,,,,,,
People targeted - Health (including epidemics),FA,pdf,,,,,,,,,,"371,917",,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Food security,FA,pdf,further data disaggregation available (FA),,,,,,,,,"330,354",,,,,"850,000",,,,,,"89,000",,,,,,,,,,,,,,
People targeted - (Agriculture) Food security and nutrition,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,,,,,,,,,,"100,000",,,,,,,,,
People targeted - Agriculture and livelihoods,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"2,600,000",,,,,,,,,,,,,,,,,,,,
People targeted - Early recovery,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"520,000",,"11,500",,,,,,,,,"210,000",,,,,,,,,
People targeted - Agriculture/Food security and livelihood,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,"230,650",,,,,,,,,,,,,,,,,,
People targeted - Coordination,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,,,,,,,,,,"320,000",,,,,,,,,
People targeted - Assistance in areas with reduced access,FA,pdf,further data disaggregation available (FA),,,,,,,,,"83,581",,,,,,,,,,,,,,,,,,,,,,,,,
Budget (US$) - total,FA,pdf,further data disaggregation available (FA),,,,,,,,,"64,500,000",,,,,,,,,,,,,,,,,,,,,,,,,
Budget (US$) - WASH,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"21,100,000",,,,,,,,,,,,,,,,,,,,
Budget (US$) - Education,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"5,900,000",,,,,,,,,,,,,,,,,,,,
Budget (US$) - Early recovery,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"8,100,000",,,,,,,,,,,,,,,,,,,,
Budget (US$) - Nutrition,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"43,200,000",,,,,,,,,,,,,,,,,,,,
Budget (US$) - Protection,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"3,500,000",,,,,,,,,,,,,,,,,,,,
Budget (US$) - Food security,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"39,300,000",,,,,,,,,,,,,,,,,,,,
Budget (US$) - Agriculture and livelihood,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"30,000,000",,,,,,,,,,,,,,,,,,,,
Budget (US$) - Health,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,"15,000,000",,,,,,,,,,,,,,,,,,,,
Requirements (US$) (total),FA,pdf,further data disaggregation available (FA),,,,,,,,,"64,562,093",,,,,"165,700,000",,"20,000,000",,,,"10,200,000",,,,,"38,300,000",,,,,,,,,
Requirements (US$) - Emergency shelter,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,"3,400,000",,,,,,,,,,,,,,,,,,
Requirements (US$) - Shelter,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,,,,,"1,400,000",,,,,,,,,,,,,,
Requirements (US$) - Temporary shelters and housing,FA,pdf,further data disaggregation available (FA),,,,,,,,,,,,,,,,,,,,,,,,,"4,700,000",,,,,,,,,
