#{"source_key": "UNHCR", "source_url": "http://www.unhcr.org/cgi-bin/texis/vtx/home/opendocAttachment.zip?COMID=58aa8f854", "source_date": 2017-02-01, "extract_date": 2017-04-04}
UN major regions,UNHCR-Bureaux,Origin,Type of population,Population Start 2016,of whom assisted by UNHCR Start 2016,Population Mid 2016,of whom assisted by UNHCR Mid 2016,Notes,Misc
Africa,Central Africa and the Great Lakes,Burundi,Total Refugee and people in refugee-like situations," 	292,762 "," 	261,168 "," 	335,232 "," 	303,745 ",
Africa,Central Africa and the Great Lakes,Burundi,People in refugee-like situations, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Burundi,Asylum-seekers," 	26,837 "," 	22,329 "," 	26,511 "," 	20,177 ",
Africa,Central Africa and the Great Lakes,Burundi,Returned refugees, 	-00 , 	-00 ," 	2,584 "," 	2,584 ",
Africa,Central Africa and the Great Lakes,Burundi,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations"," 	25,000 "," 	25,000 "," 	42,275 "," 	42,275 ",
Africa,Central Africa and the Great Lakes,Burundi,Returned IDPs, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Burundi,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Burundi,Others of concern to UNHCR," 	164,018 "," 	164,018 "," 	163,873 "," 	163,873 ",
Africa,Central Africa and the Great Lakes,Burundi,Total population of concern," 	508,617 "," 	472,515 "," 	570,475 "," 	532,654 ",
Africa,Central Africa and the Great Lakes,Cameroon,Total Refugee and people in refugee-like situations," 	10,562 ", 	394 ," 	10,615 ", 	269 ,
Africa,Central Africa and the Great Lakes,Cameroon,People in refugee-like situations, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Cameroon,Asylum-seekers," 	7,530 ", 	970 ," 	9,511 "," 	1,695 ",
Africa,Central Africa and the Great Lakes,Cameroon,Returned refugees, 	-00 , 	-00 , 	131 , 	131 ,
Africa,Central Africa and the Great Lakes,Cameroon,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations"," 	92,657 "," 	92,657 "," 	190,591 "," 	190,591 ",
Africa,Central Africa and the Great Lakes,Cameroon,Returned IDPs, 	-00 , 	-00 ," 	8,251 ", 	-00 ,
Africa,Central Africa and the Great Lakes,Cameroon,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Cameroon,Others of concern to UNHCR, 	5 , 	5 , 	28 , 	28 ,
Africa,Central Africa and the Great Lakes,Cameroon,Total population of concern," 	110,754 "," 	94,026 "," 	219,127 "," 	192,714 ",
Africa,Central Africa and the Great Lakes,Central African Rep.,Total Refugee and people in refugee-like situations," 	471,105 "," 	469,044 "," 	473,317 "," 	470,838 ",
Africa,Central Africa and the Great Lakes,Central African Rep.,People in refugee-like situations, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Central African Rep.,Asylum-seekers," 	10,661 "," 	8,216 "," 	10,538 "," 	9,037 ",
Africa,Central Africa and the Great Lakes,Central African Rep.,Returned refugees, 	-00 , 	-00 ," 	6,604 "," 	6,604 ",
Africa,Central Africa and the Great Lakes,Central African Rep.,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations"," 	451,986 "," 	216,392 "," 	391,433 "," 	155,839 ",
Africa,Central Africa and the Great Lakes,Central African Rep.,Returned IDPs, 	-00 , 	-00 ," 	60,553 "," 	60,553 ",
Africa,Central Africa and the Great Lakes,Central African Rep.,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Central African Rep.,Others of concern to UNHCR," 	20,792 "," 	20,792 "," 	20,929 "," 	20,929 ",
Africa,Central Africa and the Great Lakes,Central African Rep.,Total population of concern," 	954,544 "," 	714,444 "," 	963,374 "," 	723,800 ",
Africa,Central Africa and the Great Lakes,"Congo, Republic of",Total Refugee and people in refugee-like situations," 	14,778 "," 	1,991 "," 	14,806 "," 	1,940 ",
Africa,Central Africa and the Great Lakes,"Congo, Republic of",People in refugee-like situations, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,"Congo, Republic of",Asylum-seekers," 	4,107 ", 	873 ," 	4,285 ", 	879 ,
Africa,Central Africa and the Great Lakes,"Congo, Republic of",Returned refugees, 	-00 , 	-00 , 	1 , 	1 ,
Africa,Central Africa and the Great Lakes,"Congo, Republic of","IDPs protected/assisted by UNHCR, incl. people in IDP-like situations", 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,"Congo, Republic of",Returned IDPs, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,"Congo, Republic of",Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,"Congo, Republic of",Others of concern to UNHCR, 	91 , 	90 , 	98 , 	98 ,
Africa,Central Africa and the Great Lakes,"Congo, Republic of",Total population of concern," 	18,976 "," 	2,954 "," 	19,190 "," 	2,918 ",
Africa,Central Africa and the Great Lakes,Dem. Rep. of the Congo,Total Refugee and people in refugee-like situations," 	541,408 "," 	469,775 "," 	536,074 "," 	463,188 ",
Africa,Central Africa and the Great Lakes,Dem. Rep. of the Congo,People in refugee-like situations, 	208 , 	-00 , 	208 , 	-00 ,
Africa,Central Africa and the Great Lakes,Dem. Rep. of the Congo,Asylum-seekers," 	76,046 "," 	51,463 "," 	78,090 "," 	51,329 ",
Africa,Central Africa and the Great Lakes,Dem. Rep. of the Congo,Returned refugees, 	-00 , 	-00 , 	19 , 	19 ,
Africa,Central Africa and the Great Lakes,Dem. Rep. of the Congo,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations"," 	1,555,112 "," 	955,649 "," 	1,722,082 "," 	997,252 ",
Africa,Central Africa and the Great Lakes,Dem. Rep. of the Congo,Returned IDPs, 	-00 , 	-00 ," 	43,000 "," 	30,703 ",
Africa,Central Africa and the Great Lakes,Dem. Rep. of the Congo,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Dem. Rep. of the Congo,Others of concern to UNHCR," 	9,925 "," 	9,923 "," 	8,796 "," 	8,796 ",
Africa,Central Africa and the Great Lakes,Dem. Rep. of the Congo,Total population of concern," 	2,182,491 "," 	1,486,810 "," 	2,388,061 "," 	1,551,287 ",
Africa,Central Africa and the Great Lakes,Equatorial Guinea,Total Refugee and people in refugee-like situations, 	154 , 	9 , 	145 , 	6 ,
Africa,Central Africa and the Great Lakes,Equatorial Guinea,People in refugee-like situations, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Equatorial Guinea,Asylum-seekers, 	90 , 	8 , 	132 , 	5 ,
Africa,Central Africa and the Great Lakes,Equatorial Guinea,Returned refugees, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Equatorial Guinea,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations", 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Equatorial Guinea,Returned IDPs, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Equatorial Guinea,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Equatorial Guinea,Others of concern to UNHCR, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Equatorial Guinea,Total population of concern, 	244 , 	17 , 	277 , 	11 ,
Africa,Central Africa and the Great Lakes,Gabon,Total Refugee and people in refugee-like situations, 	176 , 	3 , 	181 , 	3 ,
Africa,Central Africa and the Great Lakes,Gabon,People in refugee-like situations, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Gabon,Asylum-seekers, 	238 , 	19 , 	297 , 	16 ,
Africa,Central Africa and the Great Lakes,Gabon,Returned refugees, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Gabon,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations", 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Gabon,Returned IDPs, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Gabon,Persons under UNHCR's statelessness mandate, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Gabon,Others of concern to UNHCR, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Gabon,Total population of concern, 	414 , 	22 , 	478 , 	19 ,
Africa,Central Africa and the Great Lakes,Rwanda,Total Refugee and people in refugee-like situations," 	286,279 "," 	168,326 "," 	286,768 "," 	168,860 ",f
Africa,Central Africa and the Great Lakes,Rwanda,People in refugee-like situations, 	-00 , 	-00 , 	-00 , 	-00 ,
Africa,Central Africa and the Great Lakes,Rwanda,Asylum-seekers," 	10,951 "," 	8,434 "," 	11,739 "," 	8,520 ",
